model_display_name,model_key,pretraining,pretext_category,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
Rotation prediction,rotation_resnet18,rotation,Geometric,32,0,224,56,64,32,32,0.8564453125,0.8155824291220604,0.75,0.7105263157894737,0.84375,0.7714285714285714,0.1189738735556602,0.78125,0.7045454545454546,0.96875,0.8157894736842106,19,13,1,31,25,0.8290816326530612,0.7008391278130668
Rotation prediction,rotation_resnet18,rotation,Geometric,32,1,212,54,78,39,39,0.6988823142669297,0.702809205235874,0.6025641025641025,0.9,0.2307692307692307,0.3673469387755102,0.6535224318504333,0.5769230769230769,0.875,0.1794871794871795,0.2978723404255319,38,1,32,7,32,0.8189300411522634,0.7093355567366989
Rotation prediction,rotation_resnet18,rotation,Geometric,32,2,190,48,106,53,53,0.7244571021715913,0.6898523479061576,0.6698113207547169,0.6323529411764706,0.8113207547169812,0.7107438016528926,0.2607634663581848,0.5849056603773585,0.5473684210526316,0.981132075471698,0.7027027027027027,10,43,1,52,17,0.859375,0.4972229798634847
Rotation prediction,rotation_resnet18,rotation,Geometric,32,3,252,64,28,14,14,0.6020408163265306,0.6028022421089647,0.5,0.5,0.5714285714285714,0.5333333333333333,0.237470731139183,0.5714285714285714,0.5454545454545454,0.8571428571428571,0.6666666666666665,4,10,2,12,9,0.865234375,0.4741006270051002
Rotation prediction,rotation_resnet18,rotation,Geometric,32,4,220,56,68,34,34,0.745674740484429,0.6985090970208825,0.6323529411764706,0.7142857142857143,0.4411764705882353,0.5454545454545455,0.1923725754022598,0.6617647058823529,0.6410256410256411,0.7352941176470589,0.6849315068493151,20,14,9,25,13,0.8431122448979592,0.4999377727508545
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,0,224,56,64,32,32,0.900390625,0.8794613849555527,0.53125,0.5161290322580645,1.0,0.6808510638297872,0.7710941433906555,0.734375,0.6595744680851063,0.96875,0.7848101265822784,16,16,1,31,59,0.8290816326530612,0.8008772219930377
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,1,212,54,78,39,39,0.8704799474030244,0.8614016242398023,0.5256410256410257,0.5131578947368421,1.0,0.6782608695652175,0.7432152032852173,0.782051282051282,0.8055555555555556,0.7435897435897436,0.7733333333333334,32,7,10,29,44,0.9026063100137174,0.6538100838661194
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,2,190,48,106,53,53,0.7173371306514774,0.7280135221810187,0.5094339622641509,0.5047619047619047,1.0,0.6708860759493671,0.6131518483161926,0.5660377358490566,0.5360824742268041,0.981132075471698,0.6933333333333332,8,45,1,52,48,0.8715277777777778,0.5770349502563477
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,3,252,64,28,14,14,0.6785714285714286,0.694483016983017,0.5,0.5,1.0,0.6666666666666666,0.8563017845153809,0.5714285714285714,0.55,0.7857142857142857,0.6470588235294117,5,9,3,11,39,0.8486328125,0.9253213554620744
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,4,220,56,68,34,34,0.8849480968858131,0.8862947465576676,0.5,0.5,1.0,0.6666666666666666,0.7066466212272644,0.75,0.84,0.6176470588235294,0.711864406779661,30,4,13,21,24,0.8214285714285714,0.7458776235580444
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,0,224,56,64,32,32,0.5107421875,0.5154140231302058,0.53125,0.5166666666666667,0.96875,0.673913043478261,0.4896810054779053,0.484375,0.492063492063492,0.96875,0.6526315789473683,0,32,1,31,6,0.4630102040816326,0.7049847415515355
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,1,212,54,78,39,39,0.7113740959894806,0.6891528008572788,0.6794871794871795,0.6666666666666666,0.717948717948718,0.691358024691358,0.4518947899341583,0.6410256410256411,0.6078431372549019,0.7948717948717948,0.6888888888888889,19,20,8,31,60,0.8106995884773662,0.5317314664522806
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,2,190,48,106,53,53,0.6600213599145603,0.5862245268790117,0.6132075471698113,0.581081081081081,0.8113207547169812,0.6771653543307086,0.3748330473899841,0.5943396226415094,0.5543478260869565,0.9622641509433962,0.703448275862069,12,41,2,51,60,0.7690972222222222,0.5650859077771505
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,3,252,64,28,14,14,0.9081632653061223,0.8956295357058294,0.75,0.6666666666666666,1.0,0.8,0.5048342347145081,0.75,0.6666666666666666,1.0,0.8,7,7,0,14,60,0.7041015625,0.6827001124620438
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,4,220,56,68,34,34,0.666955017301038,0.7089721024624341,0.5735294117647058,0.6190476190476191,0.3823529411764705,0.4727272727272727,0.3012422323226928,0.5735294117647058,0.5714285714285714,0.5882352941176471,0.5797101449275363,19,15,14,20,59,0.7793367346938775,0.5543198585510254
